ANO,MES,NSAP,CONTA,DATA,CFOP,NOTA FISCAL,COD PRODUTO,DESCRIÇÃO PRODUTO,Sum_VOLUME FULL,Sum_VALOR FULL,Sum_VOLUME CONG,Sum_VALOR CONG,Sum_DIFERENÇA VOL,Sum_DIF. VALOR R$,Sum_FULL - PREÇO USD,Sum_CONG - PREÇO USD,Sum_DIF. PREÇOS USD,flag_nfc,Right_flag_nfc,FILIAL FULL,FILIAL CONG,filialdescricao,municipiodescricao,vendedordescricao,gerentedescricao,clientedescricao,data_carga,assunto_principal
2024,jun,10434033,AGRIC VASSOLER EIRELI,2024-06-27,5922,158217.0,82935,CLAVENGO 20 L BRA,260.0,5460.0,0.0,0.0,260.0,5460.0,2.6,0.0,2.6,0.0,,69|1,,,,,,,2024-07-23,Reprocessamento de Canais
2024,jun,10434033,AGRIC VASSOLER EIRELI,2024-06-27,5922,158218.0,82935,CLAVENGO 20 L BRA,60.0,1260.0,0.0,0.0,60.0,1260.0,0.6,0.0,0.6,0.0,,69|1,,,,,,,2024-07-23,Reprocessamento de Canais
2024,jun,10434033,AGRIC VASSOLER EIRELI,2024-06-28,5922,158231.0,82935,CLAVENGO 20 L BRA,80.0,1680.0,0.0,0.0,80.0,1680.0,0.8,0.0,0.8,0.0,,69|1,,,,,,,2024-07-23,Reprocessamento de Canais
2024,jun,10434033,AGRIC VASSOLER EIRELI,2024-06-29,5102,158265.0,61602,MATCH EC 4X5 L BRA,0.0,0.0,5.0,241.0,-5.0,241.0,0.0,27.5,-27.5,0.0,,,69|1,,,,,,2024-07-23,Reprocessamento de Canais
2024,jun,10434033,AGRIC VASSOLER EIRELI,2024-06-29,5102,158265.0,61602,MATCH EC 4X5 L BRA,5.0,241.0,0.0,0.0,5.0,241.0,27.5,0.0,27.5,0.0,,69|1,,,,,,,2024-07-23,Reprocessamento de Canais
2023,jan,10433936,AGRICOLA M K LTDA,2023-01-04,5102,114159.0,70927,ALADE 4X5 L BRA,5.0,1800.0,0.0,0.0,5.0,1800.0,201.15,0.0,201.15,,,59|1,,,,,,,2024-07-23,Reprocessamento de Canais
2023,jan,10433936,AGRICOLA M K LTDA,2023-01-04,5102,114159.0,70927,ALADE 4X5 L BRA,0.0,0.0,5.0,1800.0,-5.0,1800.0,0.0,201.15,-201.15,,,,59|1,,,,,,2024-07-23,Reprocessamento de Canais
2023,jan,10433936,AGRICOLA M K LTDA,2023-01-05,5102,59599.0,70928,ALADE 20 L BRA,0.0,0.0,20.0,7200.0,-20.0,7200.0,0.0,804.6,-804.6,,,,59|6,,,,,,2024-07-23,Reprocessamento de Canais
2023,jan,10433936,AGRICOLA M K LTDA,2023-01-05,5102,59599.0,70928,ALADE 20 L BRA,20.0,7200.0,0.0,0.0,20.0,7200.0,804.6,0.0,804.6,,,59|6,,,,,,,2024-07-23,Reprocessamento de Canais
2023,jan,10433936,AGRICOLA M K LTDA,2023-01-05,5102,59595.0,70928,ALADE 20 L BRA,0.0,0.0,40.0,15206.0,-40.0,15206.0,0.0,1609.2,-1609.2,,,,59|6,,,,,,2024-07-23,Reprocessamento de Canais
